window_index,window_start,y_window,recon_mse,NOTE
228,21888,0,4.456638301,
229,21984,0,4.566112673,
230,22080,1,4.866388624,
231,22176,1,5.772808996,
232,22272,1,5.631482499,
233,22368,1,7.240143585,
234,22464,1,7.000398815,
235,22560,0,5.528222789,
236,22656,0,5.312219411,
237,22752,0,5.257659019,
238,22848,0,5.556939467,
239,22944,0,6.017292473,
240,23040,0,5.981621346,
241,23136,0,5.892467457,
242,23232,0,5.699089135,
243,23328,0,5.729511012,
244,23424,0,5.778371844,
245,23520,0,5.777597985,
246,23616,0,6.117283534,
247,23712,0,6.598528104,
