window_index,window_start,y_window,z1,z2,z3,z4,z5,z6,z7,z8,NOTE
79,7584,0,0.174,0.067,0.594,0.000,0.000,2.075,1.301,0.226,
80,7680,0,0.660,0.454,0.238,0.000,0.000,1.352,0.556,0.120,
81,7776,0,1.029,0.784,0.000,0.427,0.000,0.386,0.000,0.032,
82,7872,0,1.064,0.852,0.000,0.577,0.000,0.068,0.000,0.166,
83,7968,0,0.857,0.501,0.000,0.428,0.000,0.041,0.000,0.365,
84,8064,1,1.454,0.652,0.263,1.428,1.420,0.496,0.000,0.793,
85,8160,1,1.772,0.582,0.817,1.429,2.093,1.192,0.834,1.270,
86,8256,1,0.381,0.000,1.364,0.000,0.135,1.247,1.030,1.059,
87,8352,1,0.000,0.000,2.087,0.000,0.229,0.853,0.919,0.742,
88,8448,1,0.000,0.000,1.458,0.000,0.000,0.265,0.133,0.426,
89,8544,1,0.000,0.000,0.000,0.893,0.000,0.000,0.000,0.000,
90,8640,1,0.000,0.116,0.000,1.742,0.000,0.000,0.000,0.000,
91,8736,1,0.000,0.805,0.000,1.471,0.000,0.000,0.000,0.000,
92,8832,1,0.000,1.136,0.000,0.523,0.000,0.625,0.000,0.000,
93,8928,1,0.000,1.080,0.909,0.000,0.000,1.596,0.317,0.000,
94,9024,0,0.148,0.488,1.645,0.000,0.069,2.103,1.143,1.075,
95,9120,0,0.000,0.423,1.400,0.000,0.000,1.459,1.068,0.682,
96,9216,0,0.105,0.126,1.010,0.000,0.000,0.305,0.291,0.461,
97,9312,0,0.580,0.015,0.308,0.000,0.000,0.000,0.000,0.579,
98,9408,0,0.906,0.243,0.000,0.524,0.000,0.000,0.000,0.292,
99,9504,0,1.188,0.755,0.000,0.757,0.000,0.000,0.000,0.200,
100,9600,0,1.326,0.948,0.000,0.426,0.000,0.000,0.000,0.481,
101,9696,0,0.827,0.822,0.206,0.000,0.000,0.250,0.153,0.430,
102,9792,0,0.000,0.434,0.607,0.000,0.000,0.419,0.596,0.084,
103,9888,0,0.000,0.079,1.075,0.000,0.000,0.341,0.539,0.032,
104,9984,0,0.000,0.032,1.334,0.000,0.000,0.143,0.015,0.270,
105,10080,0,0.000,0.198,0.934,0.000,0.000,0.000,0.000,0.372,
106,10176,0,0.414,0.830,0.263,0.128,0.000,0.000,0.000,0.396,
107,10272,0,0.993,1.644,0.335,0.465,0.000,0.000,0.000,0.554,
108,10368,0,1.174,1.891,0.535,0.301,0.000,0.211,0.000,0.733,
109,10464,0,0.568,1.657,0.652,0.000,0.000,0.137,0.000,0.427,
110,10560,0,0.000,1.168,0.835,0.000,0.000,0.000,0.113,0.109,
111,10656,0,0.000,0.307,1.195,0.000,0.000,0.000,0.221,0.393,
112,10752,1,0.000,0.000,1.331,0.000,0.000,0.000,0.332,0.453,
113,10848,1,0.000,0.000,0.612,0.000,0.000,0.000,0.164,0.369,
114,10944,1,0.000,0.562,0.000,0.000,0.000,0.000,0.075,0.234,
115,11040,1,0.063,1.359,0.000,0.000,0.000,0.000,0.000,0.260,
116,11136,1,0.503,1.916,0.000,0.000,0.000,0.000,0.000,0.026,
117,11232,0,0.080,1.833,0.000,0.179,0.000,0.000,0.104,0.000,
118,11328,0,0.000,1.272,0.000,0.199,0.000,0.000,0.389,0.000,
119,11424,0,0.000,0.741,0.377,0.109,0.000,0.000,0.164,0.000,
120,11520,0,0.000,0.432,0.661,0.000,0.000,0.000,0.079,0.216,
121,11616,0,0.119,0.340,0.929,0.000,0.000,0.000,0.021,1.051,
122,11712,0,0.758,0.909,1.259,0.000,0.000,0.152,0.000,1.693,
123,11808,0,0.519,1.740,1.472,0.000,0.000,0.095,0.000,1.223,
124,11904,0,0.003,2.132,1.325,0.000,0.000,0.000,0.000,0.432,
125,12000,0,0.000,2.002,1.042,0.000,0.000,0.000,0.000,0.000,
126,12096,0,0.000,1.153,0.712,0.481,0.000,0.000,0.000,0.000,
127,12192,0,0.000,0.120,0.146,0.554,0.000,0.000,0.098,0.000,
128,12288,0,0.000,0.000,0.000,0.000,0.000,0.000,0.403,0.040,
129,12384,0,0.185,0.137,0.485,0.000,0.000,0.000,0.628,0.788,
130,12480,0,0.432,0.677,1.259,0.000,0.000,0.000,0.534,1.162,
131,12576,0,0.190,1.701,1.662,0.000,0.000,0.000,0.066,0.962,
132,12672,0,0.000,2.327,1.468,0.000,0.000,0.000,0.000,0.214,
133,12768,0,0.000,2.343,0.901,0.000,0.000,0.000,0.000,0.000,
134,12864,0,0.000,2.033,0.281,0.469,0.000,0.000,0.000,0.000,
135,12960,0,0.000,1.301,0.000,0.633,0.000,0.000,0.000,0.000,
136,13056,0,0.029,0.551,0.000,0.301,0.000,0.000,0.107,0.278,
137,13152,0,0.420,0.508,0.272,0.000,0.000,0.000,0.182,1.041,
138,13248,0,0.489,1.223,1.013,0.000,0.000,0.000,0.000,1.147,
139,13344,0,0.000,1.823,1.858,0.000,0.000,0.000,0.000,0.874,
140,13440,0,0.000,1.881,2.331,0.000,0.000,0.000,0.000,0.544,
141,13536,0,0.000,1.802,2.252,0.000,0.000,0.000,0.000,0.120,
142,13632,0,0.000,1.605,1.035,0.224,0.000,0.000,0.000,0.000,
143,13728,0,0.000,1.010,0.000,0.571,0.000,0.000,0.381,0.000,
144,13824,0,0.091,0.591,0.000,0.535,0.000,0.000,1.102,0.218,
145,13920,0,0.637,0.865,0.000,0.077,0.000,0.000,1.111,0.585,
146,14016,0,0.477,1.497,0.600,0.000,0.000,0.000,0.686,0.498,
147,14112,0,0.000,2.064,1.334,0.000,0.000,0.000,0.201,0.348,
148,14208,0,0.000,2.423,2.089,0.000,0.000,0.000,0.000,0.147,
149,14304,0,0.000,2.402,2.146,0.000,0.000,0.000,0.000,0.000,
150,14400,0,0.000,1.930,0.807,0.000,0.000,0.000,0.000,0.000,
151,14496,1,0.000,0.873,0.000,0.000,0.000,0.000,0.698,0.215,
152,14592,1,0.699,0.615,0.000,0.000,0.000,0.000,1.687,0.572,
153,14688,1,0.812,0.747,0.000,0.000,0.000,0.000,1.908,0.512,
154,14784,1,0.290,0.993,0.000,0.000,0.000,0.000,1.443,0.281,
155,14880,0,0.000,1.895,1.525,0.000,0.000,0.000,0.420,0.299,
156,14976,0,0.000,2.161,1.930,0.000,0.000,0.000,0.617,0.181,
157,15072,0,0.000,2.103,2.032,0.000,0.000,0.000,0.447,0.136,
158,15168,0,0.000,1.740,1.573,0.000,0.000,0.000,0.382,0.149,
159,15264,0,0.000,1.408,0.881,0.291,0.000,0.000,0.347,0.340,
160,15360,0,0.000,1.470,0.189,0.168,0.000,0.000,0.090,0.317,
161,15456,0,0.000,1.818,0.000,0.000,0.000,0.000,0.000,0.025,
162,15552,0,0.072,2.050,0.402,0.000,0.000,0.000,0.000,0.019,
163,15648,0,0.000,2.259,0.967,0.000,0.000,0.000,0.039,0.065,
164,15744,0,0.000,2.516,1.268,0.000,0.000,0.000,0.000,0.000,
165,15840,0,0.000,2.271,1.470,0.000,0.000,0.000,0.000,0.086,
166,15936,0,0.000,1.813,1.405,0.000,0.000,0.000,0.000,0.244,
167,16032,0,0.000,1.493,1.108,0.143,0.000,0.000,0.000,0.256,
168,16128,0,0.000,1.638,0.940,0.000,0.000,0.000,0.000,0.254,
169,16224,0,0.000,2.025,1.059,0.000,0.000,0.000,0.000,0.157,
170,16320,0,0.000,2.338,1.221,0.000,0.000,0.000,0.361,0.012,
171,16416,0,0.000,2.464,1.048,0.000,0.000,0.000,1.011,0.000,
172,16512,0,0.000,2.374,1.047,0.000,0.000,0.000,1.271,0.148,
173,16608,0,0.000,1.995,1.299,0.000,0.000,0.000,1.049,0.279,
174,16704,0,0.000,1.796,1.171,0.000,0.000,0.000,0.560,0.109,
175,16800,0,0.000,1.726,0.848,0.314,0.000,0.000,0.000,0.000,
176,16896,0,0.000,1.942,1.198,0.279,0.000,0.000,0.000,0.000,
177,16992,0,0.000,2.349,1.648,0.000,0.000,0.000,0.000,0.200,
178,17088,0,0.000,2.815,1.217,0.000,0.000,0.000,0.000,0.229,
179,17184,0,0.000,2.991,0.724,0.000,0.000,0.000,0.021,0.156,
180,17280,0,0.265,2.655,0.809,0.000,0.000,0.000,0.480,0.583,
181,17376,0,0.000,1.990,0.915,0.000,0.000,0.000,0.812,0.613,
182,17472,0,0.000,1.435,1.581,0.279,0.000,0.000,1.094,0.338,
183,17568,1,0.000,0.696,1.815,1.148,0.000,0.000,1.864,1.063,
184,17664,1,0.168,0.556,3.349,0.683,1.218,0.000,3.049,1.999,
185,17760,1,0.689,1.468,3.279,0.112,0.757,0.000,2.877,2.227,
186,17856,1,0.504,2.462,2.776,0.000,0.000,0.000,2.112,1.844,
187,17952,1,0.000,3.023,2.688,0.000,0.000,0.000,1.078,1.089,
188,18048,1,0.000,2.845,1.445,0.000,0.000,0.000,0.460,0.694,
189,18144,0,0.000,1.937,0.213,0.000,0.000,0.000,0.403,0.264,
190,18240,0,0.000,1.708,0.068,0.542,0.000,0.000,0.090,0.000,
191,18336,0,0.000,1.918,0.787,0.986,0.000,0.000,0.000,0.000,
192,18432,0,0.000,2.554,1.672,0.593,0.000,0.000,0.000,0.000,
193,18528,0,0.000,3.305,1.908,0.000,0.000,0.000,0.000,0.000,
194,18624,0,0.000,3.481,1.768,0.000,0.000,0.000,0.153,0.409,
195,18720,0,0.000,3.384,1.575,0.000,0.000,0.000,0.357,1.187,
196,18816,1,0.098,3.336,1.018,0.000,0.000,0.000,0.894,0.878,
197,18912,1,0.000,3.011,0.216,0.000,0.000,0.000,1.014,0.000,
198,19008,1,0.000,2.664,0.105,0.120,0.000,0.000,1.095,0.000,
199,19104,1,0.000,2.433,1.059,0.487,0.000,0.000,0.926,0.000,
200,19200,1,0.000,2.603,1.854,0.144,0.000,0.000,0.617,0.000,
